"GeneID","GeneName","control.Expression","treat.Expression","log2FoldChange","pvalue","padj","Up.Down.Regulation","shNC_HT29.1","shNC_HT29.2","shNC_HT29.3","shHMGA1_HT29.1","shHMGA1_HT29.2","shHMGA1_HT29.3"
"ENSG00000188042.8","ARL4C",1531.651771,375.9015462,-2.026661575,2.1e-120,3.47e-116,"Down",14.53,13.84,13.94,3.35,3.38,3.73
"ENSG00000125378.16","BMP4",8577.198401,3587.325688,-1.257597761,1.41e-111,1.17e-107,"Down",205.23,206.47,210.13,85.26,96.45,88.8
"ENSG00000115414.19","FN1",2066.146414,636.8709547,-1.69786951,1.2e-109,4.95e-106,"Down",13.57,12.73,12.74,3.78,5.14,4.98
"ENSG00000131746.13","TNS4",1743.375018,477.4997895,-1.868310939,1.1e-109,4.95e-106,"Down",17.03,16.13,17.24,5.07,4.97,4.21
"ENSG00000135373.12","EHF",3604.834544,1432.206888,-1.331693133,2.11e-101,6.95e-98,"Down",43.08,43.92,41.78,17.38,15.52,14.9
"ENSG00000143248.13","RGS5",980.5740972,219.2706668,-2.160913826,9.3e-98,2.56e-94,"Down",17.84,20.02,19.67,5.7,4.46,3.78
"ENSG00000109321.11","AREG",6245.954028,3021.728557,-1.047547882,2.97e-97,7.01e-94,"Down",230.07,231.51,221.06,111.21,111.59,112.36
"ENSG00000038427.16","VCAN",3837.95721,1225.992489,-1.646388486,2e-94,4.13e-91,"Down",18.21,19.54,17.56,7.4,6.18,6.76
"ENSG00000104419.14","NDRG1",10233.38491,4822.875895,-1.085317835,1.27e-87,2.32e-84,"Down",154.81,155.8,164.03,82.94,71.76,76.55
"ENSG00000142627.13","EPHA2",5684.395869,2472.2838,-1.201162666,7.46e-85,1.23e-81,"Down",57.68,60.36,59.94,23.91,27.65,26.27
"ENSG00000120875.9","DUSP4",7009.613222,3306.862513,-1.083871776,2.43e-74,3.65e-71,"Down",46.42,46.31,45.19,20.72,23.65,20.98
"ENSG00000145632.15","PLK2",5137.254719,1533.318944,-1.744339786,1.95e-72,2.68e-69,"Down",90.84,98.1,87.83,33.08,18.9,25.71
